row,altitude,moisture,pressure,wind_speed,sky_condition,time_of_day,air_quality_index
2105,sea level,fog,low,high,poor,5,366.6322049114442
2106,sea level,dry,low,gusty,poor,13,313.03213496095213
2107,sea level,fog,steady,high,poor,9,360.9728113959291
2108,Lolo Peak,fog,high,gusty,clear,8,146.8815693389223
2109,Missoula,mist,steady,gusty,poor,13,213.58251172541898
2110,sea level,rain,high,steady,limited,8,316.23177810494815
2111,30K feet,mist,steady,high,limited,8,24.097122127751227
2112,30K feet,mist,low,steady,clear,11,28.43103640021176
2113,sea level,dry,steady,steady,clear,15,304.58491666998606
2114,Lolo Peak,dry,steady,steady,clear,11,97.6426523478755
2115,18K feet,mist,high,high,clear,15,54.547689698526554
2116,30K feet,fog,low,high,poor,17,59.64645027202285
2117,30K feet,rain,high,gusty,clear,5,7.429117716438105
2118,Missoula,mist,low,steady,clear,19,199.8786866566435
2119,Lolo Peak,dry,high,high,limited,9,104.09932778660695
2120,Missoula,mist,low,high,poor,10,215.3361854891003
2121,30K feet,fog,low,steady,poor,10,59.52499263942611
2122,Missoula,mist,high,gusty,clear,17,202.4975813570813
2123,Missoula,fog,high,steady,poor,6,240.66311269684877
2124,18K feet,rain,steady,high,limited,14,43.4800230939412
2125,Missoula,rain,steady,high,poor,13,204.14467865467915
2126,30K feet,rain,low,high,clear,14,6.699621818993383
2127,sea level,rain,steady,gusty,limited,19,311.52918686631676
2128,30K feet,rain,high,high,clear,7,5.678743305158788
2129,18K feet,mist,steady,high,limited,11,59.523687055390845
2130,Missoula,rain,high,high,poor,14,197.32145897940535
2131,sea level,dry,low,gusty,limited,16,310.24073115342503
2132,30K feet,rain,steady,high,clear,7,6.387300611649481
2133,18K feet,rain,steady,high,limited,12,41.55672813459466
2134,Lolo Peak,fog,low,high,clear,14,147.98067988550326
2135,Lolo Peak,mist,low,gusty,clear,13,114.36324722887771
2136,18K feet,rain,low,high,poor,20,45.8997536466185
2137,30K feet,fog,high,high,limited,13,57.50788759484108
2138,Missoula,fog,high,high,limited,14,238.27591480623323
2139,Missoula,mist,low,calm,limited,15,205.11630078609787
2140,sea level,rain,low,high,clear,17,307.0661594854902
2141,Missoula,mist,steady,high,poor,15,215.48494724388593
2142,sea level,dry,steady,gusty,limited,18,308.49408077420117
2143,Missoula,mist,low,steady,limited,6,209.64358594826663
2144,30K feet,mist,steady,high,limited,11,28.168603970250278
2145,18K feet,fog,high,gusty,limited,13,86.37554759791291
2146,18K feet,fog,steady,high,limited,8,88.20735714054626
2147,30K feet,rain,steady,steady,clear,18,11.14392464782235
2148,18K feet,mist,steady,steady,limited,3,58.29602181069192
2149,Missoula,fog,steady,calm,limited,11,236.58270356124223
2150,Missoula,rain,high,high,limited,12,191.9412943735966
2151,30K feet,fog,high,high,limited,10,56.285546171287386
2152,30K feet,rain,low,high,limited,8,14.269899840368597
2153,Lolo Peak,mist,high,steady,limited,15,122.05596324677867
2154,30K feet,fog,low,gusty,poor,7,62.3339540194036
2155,Missoula,dry,low,steady,clear,5,187.02298223058347
2156,Missoula,fog,low,high,limited,8,243.12043381844464
2157,Lolo Peak,fog,high,steady,limited,3,143.82336516408398
2158,30K feet,fog,high,high,clear,8,57.11917901876764
2159,Missoula,dry,steady,steady,clear,10,180.85305223238336
2160,30K feet,mist,steady,calm,poor,7,31.085938453039788
2161,Missoula,fog,low,steady,clear,16,233.26595723633204
2162,sea level,rain,low,steady,limited,12,311.70524046318855
2163,30K feet,dry,high,gusty,limited,9,4.900754725899367
2164,30K feet,mist,steady,high,clear,10,26.057391473636663
2165,30K feet,mist,high,steady,poor,12,32.112986918741925
2166,Lolo Peak,rain,low,gusty,limited,5,104.11151922740962
2167,30K feet,mist,steady,high,clear,12,23.391361562913826
2168,Missoula,mist,high,gusty,clear,11,208.06703998877842
2169,Missoula,dry,steady,gusty,clear,7,180.13630711840543
2170,Missoula,rain,steady,steady,limited,11,196.54637178621664
2171,30K feet,fog,low,gusty,poor,17,64.5642204143022
2172,sea level,mist,low,steady,clear,11,325.65188325576287
2173,Missoula,rain,high,steady,limited,15,197.06357073782303
2174,Lolo Peak,dry,high,steady,clear,10,94.2473567888582
2175,30K feet,rain,low,gusty,poor,15,19.87031299447107
2176,Lolo Peak,dry,low,high,limited,15,99.13781272846934
2177,18K feet,dry,steady,gusty,clear,17,36.35066917955567
2178,sea level,mist,high,high,clear,7,323.3715929894098
2179,Missoula,fog,steady,steady,poor,6,242.99493974007572
2180,18K feet,dry,low,gusty,poor,11,44.26936970499254
2181,30K feet,fog,high,high,poor,17,60.304917802910055
2182,sea level,rain,low,high,clear,5,307.5712490804035
2183,30K feet,mist,high,high,limited,17,24.49399838038771
2184,30K feet,dry,low,steady,clear,13,5.241816654834455
2185,Lolo Peak,mist,low,steady,clear,10,116.07070709109477
2186,Lolo Peak,rain,steady,gusty,poor,13,106.99548121057663
2187,Missoula,fog,steady,high,limited,5,241.15605814259075
2188,Lolo Peak,mist,steady,gusty,limited,15,122.38276884895294
2189,Missoula,dry,steady,gusty,limited,9,187.25504931135907
2190,18K feet,fog,high,gusty,limited,16,85.47779863703329
2191,Missoula,rain,high,gusty,poor,14,201.00874579972302
2192,Missoula,mist,high,steady,clear,11,207.50499853254826
2193,Missoula,fog,steady,gusty,limited,16,236.13610741756594
2194,30K feet,rain,steady,high,limited,17,14.217108071911031
2195,30K feet,fog,steady,high,clear,11,51.170798962186346
2196,Missoula,mist,high,high,limited,14,210.1569265336188
2197,Missoula,fog,high,gusty,clear,4,236.36774472107965
2198,Missoula,rain,low,gusty,clear,13,186.93242979752276
2199,18K feet,fog,high,high,poor,14,96.65170646403537
2200,30K feet,fog,steady,steady,poor,8,67.56320921315171
2201,Missoula,fog,high,gusty,poor,18,240.11734727249257
2202,30K feet,dry,low,gusty,poor,10,13.455985449148228
2203,30K feet,fog,steady,steady,limited,12,49.74175945582285
2204,30K feet,fog,steady,steady,poor,19,66.62172200882166
2205,Lolo Peak,rain,low,steady,limited,14,100.88089811774448
2206,Missoula,fog,steady,high,clear,14,236.35872010461043
2207,Lolo Peak,rain,high,steady,clear,17,99.66709140613906
2208,18K feet,rain,high,gusty,limited,7,45.16170120642768
2209,18K feet,dry,high,calm,limited,14,40.776343628273395
2210,Lolo Peak,fog,steady,gusty,limited,19,147.34067238194203
2211,Missoula,dry,low,gusty,poor,15,195.7772294445744
2212,sea level,mist,low,steady,poor,14,335.0547227587539
2213,18K feet,mist,high,calm,limited,12,63.08828552389717
2214,Missoula,mist,steady,gusty,limited,11,208.24853190488088
2215,18K feet,fog,steady,high,clear,16,85.70131589931843
2216,Missoula,rain,steady,gusty,clear,15,188.17299474118687
2217,Missoula,rain,low,gusty,poor,15,199.58667628187575
2218,Missoula,dry,high,gusty,poor,5,195.30849230222086
2219,18K feet,dry,steady,gusty,poor,5,38.251472413834435
2220,sea level,fog,high,steady,clear,6,357.5265470932106
2221,sea level,rain,low,high,limited,11,310.3766854286892
2222,Missoula,mist,steady,gusty,clear,17,205.9768260855329
2223,sea level,dry,steady,gusty,poor,13,309.61453409679854
2224,sea level,fog,low,gusty,clear,8,355.96149276542843
2225,sea level,dry,low,high,poor,13,311.3389355822257
2226,Missoula,dry,low,gusty,clear,12,184.71841583952298
2227,sea level,mist,steady,high,limited,10,331.6653601252496
2228,Missoula,rain,low,steady,poor,6,200.1530024775701
2229,sea level,dry,low,high,limited,17,312.2943407014122
2230,18K feet,fog,steady,steady,clear,11,82.56800834995015
2231,18K feet,mist,steady,high,clear,15,54.7992259999789
2232,18K feet,dry,low,steady,poor,8,50.38441743967485
2233,Lolo Peak,fog,low,gusty,poor,15,151.31921868908515
2234,18K feet,fog,steady,high,poor,5,100.11519286704157
2235,Lolo Peak,dry,low,gusty,limited,11,98.53739630644675
2236,30K feet,fog,steady,high,limited,9,55.35885369294886
2237,Missoula,mist,high,steady,clear,14,208.56135907618497
2238,sea level,mist,steady,high,clear,16,324.264554486076
2239,sea level,fog,steady,gusty,limited,13,355.80366726257614
2240,18K feet,fog,steady,gusty,poor,10,93.83592595614654
2241,30K feet,dry,low,high,clear,10,7.932374241507614
2242,18K feet,mist,high,gusty,limited,11,63.80130284306438
2243,18K feet,fog,low,steady,poor,15,96.1977435839017
2244,sea level,fog,steady,high,limited,5,360.8035323908784
2245,sea level,dry,high,steady,limited,11,301.3697980703593
2246,Lolo Peak,mist,high,high,poor,13,125.65393263645048
2247,sea level,fog,low,high,poor,11,369.7611884536128
2248,Lolo Peak,mist,high,high,clear,8,114.29236089622633
2249,18K feet,fog,low,steady,clear,1,91.43071770553163
2250,sea level,rain,high,steady,limited,12,309.06889648614197
2251,Lolo Peak,mist,high,high,poor,14,128.32471980559802
2252,Missoula,rain,low,gusty,poor,8,200.1153522099684
2253,30K feet,fog,low,steady,poor,17,59.952375877692056
2254,Missoula,dry,high,gusty,poor,13,197.38828820291832
2255,Missoula,mist,high,steady,limited,12,207.04856713429132
2256,Lolo Peak,dry,high,gusty,clear,18,95.18192928407551
2257,Lolo Peak,mist,low,steady,limited,6,114.06342348461808
2258,18K feet,mist,high,gusty,poor,15,67.8575650457659
2259,Lolo Peak,rain,high,steady,poor,13,105.68847734453058
2260,Missoula,fog,high,steady,limited,15,234.70077139143362
2261,sea level,mist,steady,steady,poor,8,337.02556614042186
2262,Missoula,mist,steady,high,clear,8,206.5417713711976
2263,18K feet,mist,steady,steady,limited,15,53.351521691605406
2264,18K feet,mist,high,steady,limited,9,59.019463256849164
2265,sea level,dry,high,high,limited,17,308.4421507174262
2266,30K feet,rain,high,high,poor,10,22.654793512881938
2267,Missoula,rain,steady,high,poor,11,199.95382982361588
2268,Missoula,fog,high,high,limited,10,243.18618804530013
2269,30K feet,dry,low,steady,clear,7,5.0173062242791255
2270,sea level,rain,low,high,limited,14,313.1191466635865
2271,18K feet,mist,high,high,limited,12,56.47480313658257
2272,Missoula,fog,steady,steady,limited,9,241.5055077340878
2273,18K feet,dry,steady,high,clear,19,32.436863335417016
2274,30K feet,dry,low,high,clear,18,3.570394470906552
2275,sea level,dry,steady,gusty,limited,9,306.35815850513734
2276,30K feet,fog,low,steady,poor,10,66.41110976484877
2277,Missoula,dry,high,steady,limited,12,187.20689984092255
2278,18K feet,rain,steady,gusty,clear,10,39.06265240078755
2279,sea level,fog,steady,high,limited,17,358.55487951628766
2280,Lolo Peak,dry,steady,gusty,poor,11,104.54982683786127
2281,30K feet,dry,low,high,poor,4,9.365656983109027
2282,Missoula,mist,low,gusty,poor,17,211.25470119211334
2283,Lolo Peak,rain,steady,gusty,clear,6,103.82218363974013
2284,18K feet,fog,steady,gusty,clear,18,85.32130236485474
2285,18K feet,rain,high,gusty,poor,13,48.270674078617475
2286,Lolo Peak,fog,low,steady,poor,14,154.81980972645255
2287,30K feet,fog,steady,steady,clear,12,52.51938280886737
2288,30K feet,rain,high,gusty,clear,23,5.682382931565804
2289,18K feet,fog,steady,high,limited,18,85.73433201877243
2290,30K feet,mist,high,steady,limited,12,23.37539196286705
2291,18K feet,dry,steady,steady,limited,11,39.413619072637204
2292,Lolo Peak,mist,low,gusty,clear,13,112.6813264016163
2293,Lolo Peak,dry,steady,steady,poor,7,104.19030316454038
2294,sea level,dry,low,high,clear,21,304.9306868939988
2295,Missoula,dry,steady,high,clear,15,182.56441257515954
2296,sea level,rain,low,gusty,clear,14,311.7180730996529
2297,sea level,mist,low,steady,limited,10,327.3925841871128
2298,Missoula,dry,low,gusty,poor,11,198.5801611073929
2299,Missoula,rain,low,steady,poor,17,200.34378346797843
2300,Missoula,rain,steady,high,clear,7,189.80229657880025
2301,18K feet,mist,low,steady,limited,14,55.95542895413986
2302,Missoula,rain,high,gusty,clear,13,190.80833761605152
2303,30K feet,dry,high,gusty,clear,9,3.4418002070888307
2304,30K feet,fog,steady,high,poor,16,65.6490427023607
2305,Missoula,mist,steady,steady,limited,10,205.65766017273705
2306,Lolo Peak,fog,high,steady,limited,12,143.1594295801216
2307,Lolo Peak,mist,steady,high,limited,12,115.83146366116175
2308,Missoula,rain,low,gusty,clear,13,186.7793220812096
2309,18K feet,dry,high,high,limited,11,37.68403243243965
2310,30K feet,fog,high,high,clear,16,58.631281862539645
2311,Missoula,rain,low,gusty,clear,14,190.00507258703075
2312,30K feet,dry,steady,calm,poor,19,13.034497459194064
2313,Lolo Peak,fog,high,gusty,clear,12,145.31334779091966
2314,sea level,fog,low,high,limited,16,357.87833113166784
2315,18K feet,mist,steady,gusty,poor,13,65.12098463364457
2316,18K feet,rain,high,gusty,limited,11,44.84178419781771
2317,Missoula,fog,high,gusty,poor,14,245.63130062530283
2318,Lolo Peak,mist,steady,high,clear,11,116.65281463658704
2319,30K feet,dry,low,high,poor,10,15.574419190971039
2320,Lolo Peak,dry,low,calm,poor,9,107.03653166211403
2321,sea level,rain,high,gusty,poor,6,317.632295091399
2322,30K feet,rain,steady,high,limited,12,12.354344717623269
2323,Missoula,rain,low,high,poor,11,204.83705607929588
2324,Missoula,dry,high,steady,limited,12,189.79070171841656
2325,18K feet,rain,steady,high,clear,12,42.99977474864376
2326,Missoula,dry,steady,steady,poor,21,194.77300038092443
2327,Missoula,fog,steady,steady,poor,13,246.76808569151132
2328,sea level,rain,steady,steady,poor,10,320.6759522391358
2329,18K feet,rain,low,high,clear,22,37.337087976144844
2330,sea level,rain,low,steady,clear,11,310.856969089716
2331,Lolo Peak,mist,high,steady,poor,8,124.53793504400792
2332,18K feet,dry,steady,gusty,poor,8,48.50925953224474
2333,30K feet,rain,steady,high,limited,7,8.416290006324912
2334,18K feet,dry,high,steady,poor,16,42.43690081999077
2335,30K feet,dry,low,calm,clear,19,7.691577093300699
2336,Missoula,rain,high,steady,clear,13,184.79498827120122
2337,Missoula,fog,steady,steady,limited,12,239.4429336551622
2338,18K feet,fog,steady,high,poor,9,91.07475355416474
2339,Missoula,dry,low,high,poor,19,194.25520315096054
2340,30K feet,dry,steady,high,clear,15,6.0869400778085705
2341,Lolo Peak,mist,steady,high,clear,13,119.79479647120237
2342,Missoula,rain,high,gusty,limited,8,203.21057831890545
2343,Missoula,rain,high,high,poor,14,199.82726034014442
2344,sea level,mist,high,high,limited,13,324.445975459087
2345,Missoula,dry,steady,high,clear,13,179.78988890447832
2346,18K feet,dry,low,steady,poor,11,38.32259501315699
2347,Missoula,dry,steady,steady,poor,12,201.3029020367186
2348,Lolo Peak,rain,high,gusty,limited,11,100.73589711409734
2349,sea level,mist,steady,gusty,limited,9,325.37373323691895
2350,Lolo Peak,rain,steady,high,poor,12,109.57080833925488
2351,sea level,mist,low,steady,limited,14,320.4459295277605
2352,Missoula,mist,steady,high,clear,5,199.74569146726247
2353,30K feet,dry,high,high,limited,16,9.32157473914501
2354,Missoula,dry,steady,high,limited,12,188.73251685590907
2355,18K feet,fog,steady,gusty,poor,10,97.30119602908347
2356,Missoula,dry,high,gusty,limited,12,188.23079129097874
2357,Missoula,mist,low,high,limited,15,208.47276814594434
2358,Missoula,dry,low,gusty,limited,14,187.6802682119394
2359,18K feet,dry,low,high,clear,13,37.15950160877532
2360,Lolo Peak,fog,low,steady,limited,6,149.21736766846732
2361,sea level,mist,high,high,limited,12,325.93584929573063
2362,18K feet,mist,high,steady,clear,10,57.91277211413958
2363,30K feet,mist,high,steady,clear,11,21.260779735593694
2364,30K feet,rain,low,gusty,poor,11,19.53687197918484
2365,30K feet,mist,low,gusty,poor,12,34.496223445915696
2366,18K feet,dry,high,gusty,clear,10,33.559858912608014
2367,Missoula,fog,steady,high,limited,-0,236.71907295047072
2368,18K feet,fog,high,gusty,poor,16,91.55937377230431
2369,Missoula,fog,high,steady,limited,17,238.09722108251842
2370,Lolo Peak,fog,high,calm,clear,9,140.63849523866512
2371,18K feet,dry,steady,steady,clear,15,33.13075257470642
2372,18K feet,rain,steady,steady,limited,10,42.06943313457151
2373,Missoula,dry,low,high,poor,21,194.00208877642814
2374,Lolo Peak,mist,steady,high,clear,8,115.72105465087162
2375,Missoula,fog,high,gusty,clear,9,230.0628329520753
2376,18K feet,dry,low,high,clear,8,35.83708738492902
2377,30K feet,rain,steady,high,clear,22,11.328617609328736
2378,Lolo Peak,dry,steady,high,poor,13,102.62993428806456
2379,Missoula,fog,low,high,clear,10,236.5440542607541
2380,Lolo Peak,mist,low,gusty,limited,9,117.20991429705789
2381,30K feet,fog,high,gusty,poor,11,66.88907484591206
2382,18K feet,dry,low,high,poor,16,47.44666917694866
2383,18K feet,fog,low,high,limited,15,93.05824254050742
2384,sea level,fog,low,high,clear,12,360.53749997599124
2385,30K feet,fog,steady,gusty,poor,19,69.34156262447186
2386,Lolo Peak,mist,low,gusty,clear,10,117.62497553663174
2387,18K feet,dry,low,calm,poor,10,49.084330247975046
2388,18K feet,dry,low,gusty,poor,12,40.767531076761756
2389,30K feet,dry,high,high,poor,11,15.474664510146745
2390,30K feet,mist,low,gusty,limited,14,28.52281453263311
2391,sea level,dry,low,high,clear,20,302.7922906869458
2392,sea level,dry,low,high,limited,12,306.2625231088205
2393,Lolo Peak,rain,low,steady,poor,16,108.07440958301453
2394,Lolo Peak,mist,high,steady,limited,12,120.36299759177638
2395,Missoula,mist,low,gusty,clear,6,198.13389465444504
2396,Lolo Peak,mist,steady,gusty,clear,15,115.88720777914628
2397,sea level,fog,steady,gusty,poor,11,359.5667938762535
2398,Lolo Peak,fog,high,gusty,clear,17,144.0314546820009
2399,sea level,mist,steady,gusty,clear,5,327.7197566635981
2400,sea level,mist,high,high,limited,7,331.41152216945414
2401,30K feet,dry,high,steady,clear,15,5.351168842455942
2402,Missoula,fog,low,steady,limited,11,238.34424818570764
2403,Missoula,mist,steady,gusty,poor,7,219.43226041322984
2404,Missoula,fog,steady,high,poor,12,243.91042614275025
2405,30K feet,mist,steady,steady,poor,12,32.2622241664405
2406,Missoula,fog,steady,high,limited,12,234.19074924691557
2407,18K feet,fog,low,high,poor,8,94.01463901661491
2408,Missoula,fog,low,gusty,poor,5,245.98222048929753
2409,30K feet,rain,low,steady,clear,7,10.774737965751191
2410,30K feet,dry,steady,high,clear,15,4.874200827889436
2411,Lolo Peak,mist,low,high,limited,13,122.10214986867312
2412,Missoula,dry,low,gusty,poor,17,194.96905362753105
2413,Lolo Peak,dry,high,steady,poor,12,102.71916726540921
2414,Missoula,fog,low,high,clear,10,231.9195873107579
2415,18K feet,mist,low,high,poor,13,63.29950752311868
2416,Missoula,fog,low,high,poor,18,245.73959760864318
2417,30K feet,dry,high,steady,clear,4,5.7366220632022635
2418,Missoula,dry,steady,high,poor,13,188.833074548937
2419,sea level,fog,low,steady,poor,13,366.21343162531196
2420,sea level,dry,high,gusty,clear,15,306.556071803006
2421,sea level,rain,high,gusty,limited,18,309.9466029680116
2422,18K feet,rain,steady,high,poor,6,50.25570676559235
2423,Missoula,mist,high,gusty,clear,13,206.87250377314757
2424,18K feet,dry,low,gusty,limited,10,37.273208204791906
2425,sea level,dry,high,gusty,poor,11,311.98204677016184
2426,sea level,rain,low,steady,clear,11,307.31102916570154
2427,sea level,rain,steady,high,limited,10,314.9914777891385
2428,18K feet,dry,low,high,clear,4,31.517315861815746
2429,Missoula,fog,high,steady,clear,14,232.99374478870297
2430,Lolo Peak,dry,high,high,poor,14,107.93123349158941
2431,Lolo Peak,dry,low,steady,clear,16,97.32229467714683
2432,sea level,mist,steady,steady,limited,15,327.00677786285837
2433,30K feet,rain,low,gusty,limited,13,9.149644863861052
2434,Missoula,dry,high,steady,limited,21,188.95784433461142
2435,sea level,rain,high,gusty,clear,14,307.8101261557189
2436,sea level,mist,low,steady,clear,10,325.945008239359
2437,sea level,rain,high,gusty,limited,11,314.95898779751246
2438,30K feet,dry,steady,steady,limited,14,11.175535463081708
2439,sea level,mist,high,high,clear,10,324.121518529512
2440,Lolo Peak,rain,steady,gusty,poor,6,107.26843988018437
2441,Missoula,fog,high,gusty,limited,18,239.82144797913475
2442,30K feet,fog,steady,high,limited,12,56.17977589268054
2443,Lolo Peak,dry,low,steady,clear,11,93.32446456626352
2444,sea level,dry,steady,gusty,clear,13,304.90006683195134
2445,sea level,dry,steady,high,poor,4,313.6999311365371
2446,Missoula,dry,high,gusty,poor,6,191.35067400524517
2447,sea level,fog,steady,steady,limited,5,353.3927471095611
2448,sea level,mist,steady,steady,limited,18,328.62763847615963
2449,Lolo Peak,dry,low,high,limited,6,100.14703547820916
2450,Lolo Peak,fog,steady,high,limited,13,143.46439276170432
2451,18K feet,fog,high,high,clear,12,84.92335629472015
2452,18K feet,rain,steady,gusty,poor,15,51.305346627497876
2453,Lolo Peak,rain,steady,gusty,limited,12,104.68425446126173
2454,Lolo Peak,rain,steady,high,clear,15,99.14160382869844
2455,Lolo Peak,fog,low,high,poor,9,148.85366342342482
2456,18K feet,dry,low,high,clear,14,34.1672924894118
2457,sea level,mist,low,gusty,poor,9,335.55496856318234
2458,Lolo Peak,mist,low,gusty,clear,11,116.2641193846922
2459,18K feet,fog,steady,calm,clear,18,89.71826087887565
2460,18K feet,fog,high,gusty,clear,13,86.11648187163901
2461,Lolo Peak,dry,low,steady,clear,11,97.52192070292999
2462,Lolo Peak,mist,steady,calm,poor,12,125.22881066470892
2463,Missoula,mist,steady,steady,poor,8,213.39606751812656
2464,Missoula,mist,low,gusty,clear,5,205.31721972974796
2465,Lolo Peak,rain,low,high,clear,15,98.04854034301482
2466,Lolo Peak,mist,steady,high,clear,9,113.83431227536974
2467,Lolo Peak,dry,steady,steady,clear,8,99.80695622890411
2468,Lolo Peak,rain,low,steady,limited,14,100.26257524277716
2469,30K feet,dry,high,high,clear,10,4.341965920349542
2470,Missoula,fog,high,steady,clear,7,237.70678714715802
2471,Missoula,dry,steady,steady,clear,9,181.82917781900932
2472,sea level,mist,steady,steady,clear,15,317.7456986760675
2473,Lolo Peak,fog,low,steady,clear,10,147.81581594392307
2474,18K feet,rain,high,steady,poor,13,51.37307603352738
2475,Lolo Peak,fog,steady,steady,limited,7,149.5161214491435
2476,sea level,fog,high,high,poor,17,362.8373072500595
2477,18K feet,rain,low,gusty,poor,11,46.78158677128027
2478,Missoula,mist,low,steady,poor,12,215.61933026301125
2479,Missoula,mist,high,steady,clear,14,201.11039547939555
2480,18K feet,rain,high,steady,poor,7,52.91379489168507
2481,30K feet,mist,steady,gusty,clear,8,22.31379408477955
2482,Missoula,rain,steady,gusty,clear,14,194.940761105561
2483,18K feet,fog,low,steady,clear,10,78.9766903588362
2484,Missoula,dry,high,gusty,limited,11,188.14239774000143
2485,Missoula,dry,steady,high,poor,5,191.83098080752873
2486,sea level,mist,low,gusty,clear,11,325.8869447770686
2487,Lolo Peak,mist,high,high,poor,10,121.67813761213598
2488,30K feet,fog,low,gusty,poor,10,69.69985639499747
2489,Lolo Peak,rain,steady,high,poor,9,108.09528502831462
2490,Missoula,fog,steady,gusty,poor,8,245.38327920764598
2491,Missoula,fog,high,steady,limited,7,237.64051841736517
2492,Lolo Peak,mist,low,high,poor,10,124.29120703169525
2493,sea level,fog,low,calm,poor,9,365.403586594294
2494,Missoula,rain,steady,gusty,limited,5,195.41889146454622
2495,sea level,dry,steady,gusty,poor,17,318.48555564521934
2496,18K feet,fog,low,gusty,poor,11,97.43927055005423
2497,Missoula,fog,low,gusty,clear,13,241.0397496333267
2498,18K feet,dry,steady,gusty,poor,5,45.3357605520377
2499,30K feet,mist,steady,high,poor,11,37.88406949047326
2500,Missoula,dry,low,gusty,clear,15,189.02934736808353
2501,sea level,rain,steady,gusty,clear,8,311.53923353658064
2502,Missoula,fog,high,gusty,poor,10,241.10922109620836
2503,30K feet,dry,high,high,clear,16,7.4358273599544855
2504,sea level,dry,steady,high,poor,9,315.83229983252335
2505,sea level,rain,steady,high,poor,12,320.21236020812927
2506,Lolo Peak,mist,low,high,clear,13,115.54178782847315
2507,Missoula,mist,steady,high,clear,7,196.3440502222385
2508,Missoula,mist,steady,steady,poor,13,212.4472599311133
2509,sea level,rain,low,steady,clear,13,311.6029203665041
2510,Missoula,dry,low,high,limited,13,190.35023138681095
2511,30K feet,dry,steady,high,limited,16,8.779333478564347
2512,sea level,mist,low,gusty,clear,11,327.9184376293776
2513,18K feet,fog,low,gusty,poor,14,91.6939495786109
2514,Missoula,fog,low,gusty,clear,11,236.62972353262808
2515,Lolo Peak,mist,steady,high,clear,13,114.88952716676812
2516,Lolo Peak,dry,low,high,clear,16,93.49769874002507
2517,18K feet,dry,high,gusty,clear,13,32.965701959320334
2518,18K feet,dry,low,high,limited,15,35.786767623969254
2519,30K feet,fog,low,high,poor,12,63.54771144544263
2520,Lolo Peak,fog,steady,high,clear,15,144.46902539981457
2521,18K feet,rain,steady,gusty,poor,11,46.368448032838415
2522,Lolo Peak,rain,high,gusty,limited,13,99.67533790490498
2523,sea level,dry,low,steady,limited,6,302.9038943117488
2524,30K feet,rain,low,high,clear,12,8.420718727269833
2525,30K feet,dry,low,high,poor,19,17.208530296309732
2526,18K feet,dry,steady,steady,clear,10,32.37250999225961
2527,Missoula,fog,low,high,limited,13,232.29271021830644
2528,Missoula,mist,low,steady,clear,15,205.1022856292438
2529,Missoula,fog,low,high,limited,14,237.52856870206523
2530,Lolo Peak,fog,low,high,poor,21,155.96235680209026
2531,30K feet,dry,low,steady,poor,12,13.789879942236288
2532,sea level,dry,low,steady,clear,18,306.09556329759516
2533,Missoula,rain,high,high,clear,11,190.69603755630135
2534,Missoula,rain,steady,high,clear,8,192.1789182591312
2535,18K feet,fog,low,high,limited,11,91.50721646135764
2536,18K feet,rain,high,high,clear,17,38.946575477600746
2537,30K feet,rain,steady,steady,clear,10,13.394049840178548
2538,sea level,dry,steady,calm,poor,14,319.1700159731983
2539,Lolo Peak,mist,high,high,limited,13,115.36296918826423
2540,sea level,dry,high,gusty,limited,9,309.0693835435436
2541,18K feet,mist,high,gusty,poor,14,59.733225121297956
2542,sea level,mist,steady,high,poor,10,332.4814377102626
2543,18K feet,dry,steady,high,clear,5,38.764825576433324
2544,Lolo Peak,mist,steady,gusty,limited,9,116.60741249719241
2545,30K feet,fog,low,steady,poor,11,68.99700691411986
2546,30K feet,dry,low,high,poor,7,16.764617307171655
2547,Missoula,fog,steady,high,poor,8,241.9657801141192
2548,sea level,dry,steady,gusty,poor,12,314.96597876248484
2549,18K feet,dry,low,high,limited,12,37.12517652223296
2550,30K feet,dry,low,steady,poor,10,9.30217976944143
2551,sea level,rain,steady,gusty,limited,8,313.0664711938701
2552,Lolo Peak,fog,steady,gusty,clear,9,152.03180687094465
2553,18K feet,rain,steady,steady,poor,8,46.99772578941418
2554,18K feet,fog,high,high,limited,6,89.12402235436521
2555,30K feet,fog,steady,high,poor,13,65.77107346725334
2556,Missoula,fog,low,gusty,poor,12,244.44923572709484
2557,Lolo Peak,fog,high,steady,clear,18,138.42678821177364
2558,Lolo Peak,dry,low,steady,poor,13,108.83048590014943
2559,30K feet,rain,low,high,limited,12,12.967784847142253
2560,sea level,fog,steady,steady,clear,5,350.94736549305094
2561,30K feet,rain,steady,gusty,poor,14,21.637358570142563
2562,30K feet,dry,high,gusty,limited,16,9.052021740250531
2563,Lolo Peak,fog,low,gusty,limited,16,149.93021087559413
2564,30K feet,fog,steady,high,poor,15,64.8076746488653
2565,18K feet,mist,steady,high,clear,8,58.726916504896536
2566,Lolo Peak,mist,steady,steady,clear,11,114.19592120532215
2567,30K feet,rain,steady,gusty,limited,12,10.177545391482358
2568,18K feet,fog,steady,high,limited,11,86.0906946469858
2569,30K feet,fog,low,high,poor,10,70.42881946076763
2570,18K feet,fog,steady,gusty,poor,5,99.19476383559866
2571,30K feet,fog,steady,high,clear,10,56.541253252930595
2572,18K feet,rain,low,high,poor,10,48.47704134476814
2573,18K feet,rain,low,high,limited,9,41.34698733631236
2574,Missoula,mist,low,gusty,poor,16,215.4707882437624
